slug,nom_reel,code_postal,code_insee,pop2012,surface,long_deg,lat_deg
rance,Rancé,01390,1318,600,9.53,4.86667,45.9667
grieges,Grièges,01290,1179,1800,14.87,4.85,46.25
grand-corent,Grand-Corent,01250,1177,100,7.13,5.43333,46.2
outriaz,Outriaz,01430,1282,300,5.91,5.55,46.0667
montagnieu-01,Montagnieu,01470,1255,500,6.22,5.46667,45.8
champagne-en-valromey,Champagne-en-Valromey,01260,1079,700,18.16,5.68333,45.9
amberieux-en-dombes,Ambérieux-en-Dombes,01330,1005,1600,15.92,4.9,46.0
boisse-01,La Boisse,01120,1049,2900,9.4,5.03333,45.85
parcieux,Parcieux,01600,1285,1100,3.14,4.81667,45.9167
saint-didier-d-aussiat,Saint-Didier-d'Aussiat,01340,1346,800,15.22,5.06667,46.3
saint-nizier-le-bouchoux,Saint-Nizier-le-Bouchoux,01560,1380,700,28.3,5.15,46.45
ars-sur-formans,Ars-sur-Formans,01480,1021,1300,5.5,4.81667,45.9833
anglefort,Anglefort,01350,1010,900,29.26,5.80833,45.9167
corlier,Corlier,01110,1121,100,5.45,5.5,46.0333
ferney-voltaire,Ferney-Voltaire,01210,1160,7800,4.78,6.11667,46.25
saint-maurice-de-remens,Saint-Maurice-de-Rémens,01500,1379,700,10.35,5.28333,45.95
chatillon-la-palud,Châtillon-la-Palud,01320,1092,1500,14.01,5.25,45.9667
saint-sulpice-01,Saint-Sulpice,01340,1387,100,5.26,5.04167,46.3203
saint-bois,Saint-Bois,01300,1340,100,9.42,5.63333,45.7
virignin,Virignin,01300,1454,800,7.88,5.71667,45.7167
premillieu,Prémillieu,01110,1311,0,8.51,5.56667,45.8667
genouilleux,Genouilleux,01090,1169,600,4.08,4.78333,46.1167
reyssouze,Reyssouze,01190,1323,900,9.54,4.91667,46.4333
collonges,Collonges,01550,1109,1600,16.25,5.9,46.1333
saint-germain-de-joux,Saint-Germain-de-Joux,01130,1357,500,11.27,5.73333,46.1833
bregnier-cordon,Brégnier-Cordon,01300,1058,700,11.0,5.61667,45.65
saint-martin-le-chatel,Saint-Martin-le-Châtel,01310,1375,800,12.77,5.11667,46.2833
marignieu,Marignieu,01300,1234,200,3.55,5.71667,45.8
neyrolles,Neyrolles,01130,1274,700,9.5,5.63333,46.1333
sulignat,Sulignat,01400,1412,600,10.8,4.96667,46.1667
beny,Bény,01370,1038,700,18.25,5.28333,46.3333
injoux-genissiat,Injoux-Génissiat,01200,1189,1000,29.61,5.78333,46.05
chanay,Chanay,01420,1082,600,18.1,5.78333,46.0
chatillon-sur-chalaronne,Châtillon-sur-Chalaronne,01400,1093,4900,17.98,4.96667,46.1167
farges-01,Farges,01550,1158,800,14.28,5.91667,46.1667
saint-alban-01,Saint-Alban,01450,1331,200,8.08,5.45,46.1
curtafond,Curtafond,01310,1140,700,12.41,5.08333,46.2667
viriat,Viriat,01440,1451,5700,45.03,5.21667,46.25
belleydoux,Belleydoux,01130,1035,300,17.63,5.76667,46.25
bage-le-chatel,Bâgé-le-Châtel,01380,1026,800,0.88,4.93333,46.3
sainte-olive,Sainte-Olive,01330,1382,300,7.39,4.93333,46.0167
saint-genis-sur-menthon,Saint-Genis-sur-Menthon,01380,1355,400,11.55,5.01667,46.2833
domsure,Domsure,01270,1147,500,15.2,5.3,46.4167
chavannes-sur-suran,Chavannes-sur-Suran,01250,1095,700,21.5,5.41667,46.2667
priay,Priay,01160,1314,1400,15.77,5.28333,46.0
peyrieu,Peyrieu,01300,1294,800,14.13,5.67751,45.6767
lalleyriat,Lalleyriat,01130,1204,200,15.25,5.71667,46.15
sergy-01,Sergy,01630,1401,1700,9.46,6.0,46.25
saint-martin-du-frene,Saint-Martin-du-Frêne,01430,1373,1100,19.14,5.55,46.1333
saint-maurice-de-beynost,Saint-Maurice-de-Beynost,01700,1376,3900,6.99,4.96667,45.8333
servas-01,Servas,01240,1405,1200,13.05,5.16667,46.1333
cuzieu-01,Cuzieu,01300,1141,400,4.87,5.67445,45.8192
jayat,Jayat,01340,1196,1000,16.3,5.11667,46.3667
lavours,Lavours,01350,1208,100,6.3,5.76667,45.8
chevroux,Chevroux,01190,1102,900,17.2,4.95,46.3833
pollieu,Pollieu,01350,1302,200,3.71,5.75,45.8
beligneux,Béligneux,01360,1032,2900,13.3,5.11667,45.8667
brenaz,Brénaz,01260,1059,100,9.79,5.71667,45.95
benonces,Bénonces,01470,1037,300,15.33,5.48333,45.8333
saint-jean-le-vieux-01,Saint-Jean-le-Vieux,01640,1363,1600,15.33,5.38917,46.0284
beauregard-01,Beauregard,01480,1030,900,0.94,4.75139,46.002
oyonnax,Oyonnax,01100,1283,23100,36.18,5.66667,46.25
mionnay,Mionnay,01390,1248,2100,19.62,4.93333,45.9
germagnat,Germagnat,01250,1172,100,9.48,5.45,46.3167
coligny,Coligny,01270,1108,1200,16.87,5.35,46.3833
simandre-sur-suran,Simandre-sur-Suran,01250,1408,700,16.3,5.41667,46.2167
abergement-clemenciat,L'Abergement-Clémenciat,01400,1001,800,15.95,4.91667,46.15
lescheroux,Lescheroux,01560,1212,700,20.05,5.15,46.4
ornex,Ornex,01210,1281,3200,5.64,6.1,46.2833
dommartin-01,Dommartin,01380,1144,800,17.19,4.99167,46.3417
lompnas,Lompnas,01680,1219,200,12.69,5.51667,45.8
bettant,Bettant,01500,1041,700,3.37,5.36667,45.9333
armix,Armix,01510,1019,0,6.82,5.58333,45.85
feillens,Feillens,01570,1159,3100,14.91,4.88333,46.3333
chavornay,Chavornay,01510,1097,200,7.77,5.7,45.8833
challex,Challex,01630,1078,1100,8.67,5.96667,46.1833
vongnes,Vongnes,01350,1456,100,2.05,5.71667,45.8167
magnieu,Magnieu,01300,1227,400,6.23,5.71667,45.7833
groissiat,Groissiat,01810,1181,1100,6.32,5.6,46.2167
dompierre-sur-chalaronne,Dompierre-sur-Chalaronne,01400,1146,400,4.78,4.9,46.1333
montluel,Montluel,01120,1262,6800,40.11,5.05,45.85
poizat,Le Poizat,01130,1300,400,17.9,5.7,46.15
hostiaz,Hostiaz,01110,1186,100,10.6,5.53333,45.9
montanges,Montanges,01200,1257,300,13.7,5.8,46.1667
sainte-julie,Sainte-Julie,01150,1366,800,11.15,5.28333,45.8833
bey-01,Bey,01290,1042,200,2.77,4.85,46.2167
sonthonnax-la-montagne,Sonthonnax-la-Montagne,01580,1410,300,14.14,5.53333,46.2333
mezeriat,Mézériat,01660,1246,2000,19.17,5.03333,46.2333
bellignat,Bellignat,01810,1031,3500,7.83,5.61667,46.25
saint-marcel-01,Saint-Marcel,01390,1371,1200,11.64,4.98723,45.9487
belley,Belley,01300,1034,8800,22.42,5.68333,45.7667
corbonod,Corbonod,01420,1118,1200,31.59,5.81667,45.95
neyron,Neyron,01700,1275,2300,5.36,4.93223,45.8148
saint-paul-de-varax,Saint-Paul-de-Varax,01240,1383,1500,25.97,5.13333,46.1
pressiat,Pressiat,01370,1312,200,6.01,5.38333,46.3333
chazey-bons,Chazey-Bons,01300,1098,700,10.59,5.68333,45.8
servignat,Servignat,01560,1406,200,7.99,5.06667,46.4333
marlieux,Marlieux,01240,1235,800,16.85,5.06667,46.0667
andert-et-condon,Andert-et-Condon,01300,1009,300,6.94,5.65,45.8
hautecourt-romaneche,Hautecourt-Romanèche,01250,1184,700,21.6,5.41667,46.1583
crottet,Crottet,01620,1134,1700,12.12,4.9,46.2833
druillat,Druillat,01160,1151,1100,20.72,5.31667,46.0667
dompierre-sur-veyle,Dompierre-sur-Veyle,01240,1145,1200,29.1,5.2,46.0667
perouges,Pérouges,01800,1290,1200,18.97,5.18333,45.9
rignieux-le-franc,Rignieux-le-Franc,01800,1325,900,15.02,5.18333,45.9333
giron,Giron,01130,1174,100,9.39,5.76667,46.2333
cerdon-01,Cerdon,01450,1068,800,12.3,5.46667,46.0833
cruzilles-les-mepillat,Cruzilles-lès-Mépillat,01290,1136,800,11.84,4.88333,46.2167
lelex,Lélex,01410,1210,200,17.63,5.95,46.3
lhopital,Lhôpital,01420,1215,100,3.68,5.77834,46.0217
segny,Ségny,01170,1399,1600,3.24,6.08333,46.3
